STATIONS_ID,MESS_DATUM,QN_4,DK_TER,FK_TER,eor
3088,1943053021,5,4,2,eor
3088,1943053107,5,12,3,eor
3088,1943053114,5,12,4,eor
3088,1943053121,5,0,0,eor
3088,1943060107,5,12,3,eor
3088,1943060114,5,12,2,eor
3088,1943060121,5,12,1,eor
3088,1943060207,5,16,2,eor
3088,1943060214,5,16,4,eor
3088,1943060221,5,10,2,eor
3088,1943060307,5,18,2,eor
3088,1943060314,5,20,3,eor
3088,1943060321,5,20,2,eor
3088,1943060407,5,24,2,eor
3088,1943060414,5,24,3,eor
3088,1943060421,5,26,2,eor
3088,1943060507,5,14,2,eor
3088,1943060514,5,20,4,eor
3088,1943060521,5,20,3,eor
3088,1943060607,5,20,2,eor
3088,1943060614,5,24,2,eor
3088,1943060621,5,22,1,eor
3088,1943060707,5,28,3,eor
3088,1943060714,5,24,3,eor
3088,1943060721,5,22,4,eor
3088,1943060807,5,20,4,eor
3088,1943060814,5,20,4,eor
3088,1943060821,5,10,1,eor
3088,1943060907,5,10,1,eor
3088,1943060914,5,8,2,eor
3088,1943060921,5,4,2,eor
3088,1943061007,5,6,3,eor
3088,1943061014,5,28,3,eor
3088,1943061021,5,4,1,eor
3088,1943061107,5,2,3,eor
3088,1943061114,5,4,3,eor
3088,1943061121,5,4,2,eor
3088,1943061207,5,30,2,eor
3088,1943061214,5,24,2,eor
3088,1943061221,5,24,1,eor
3088,1943061307,5,24,3,eor
3088,1943061314,5,22,4,eor
3088,1943061321,5,24,3,eor
3088,1943061407,5,22,2,eor
3088,1943061414,5,16,2,eor
3088,1943061421,5,20,2,eor
3088,1943061507,5,20,3,eor
3088,1943061514,5,22,5,eor
3088,1943061521,5,20,3,eor
3088,1943061607,5,16,2,eor
3088,1943061614,5,16,4,eor
3088,1943061621,5,12,2,eor
3088,1943061707,5,22,2,eor
3088,1943061714,5,24,5,eor
3088,1943061721,5,26,3,eor
3088,1943061807,5,20,3,eor
3088,1943061814,5,28,4,eor
3088,1943061821,5,14,1,eor
3088,1943061907,5,16,4,eor
3088,1943061914,5,26,4,eor
3088,1943061921,5,24,3,eor
3088,1943062007,5,20,4,eor
3088,1943062014,5,16,1,eor
3088,1943062021,5,10,1,eor
3088,1943062107,5,16,2,eor
3088,1943062114,5,24,2,eor
3088,1943062121,5,28,2,eor
3088,1943062207,5,28,2,eor
3088,1943062214,5,28,3,eor
3088,1943062221,5,6,1,eor
3088,1943062307,5,16,2,eor
3088,1943062314,5,20,4,eor
